"qtl_id"	"gene"	"chr"
"QTL:845"	"CYLC2"	"1"
"QTL:8799"	"CU151851.1"	"4"
"QTL:5225"	"CU151851.1"	"4"
"QTL:5256"	"CU151851.1"	"4"
"QTL:8799"	"OC90"	"4"
"QTL:5225"	"OC90"	"4"
"QTL:5256"	"OC90"	"4"
"QTL:5225"	"SQLE"	"4"
"QTL:5256"	"SQLE"	"4"
"QTL:5225"	"WNT8B"	"4"
"QTL:5256"	"WNT8B"	"4"
"QTL:5256"	"C1orf112"	"4"
"QTL:31305"	"CDC14A"	"4"
"QTL:5229"	"PAK5"	"17"
"QTL:5229"	"TCF15"	"17"
"QTL:5229"	"LPIN3"	"17"
"QTL:5229"	"DNTTIP1"	"17"
"QTL:5229"	"ZNF335"	"17"
"QTL:5229"	"ZFP64"	"17"
"QTL:5229"	"CTCFL"	"17"
"QTL:5224"	"EPHB4"	"3"
"QTL:5224"	"ZNF668"	"3"
"QTL:5224"	"PDILT"	"3"
"QTL:5224"	"ZNF174"	"3"
"QTL:6465"	"ZNF174"	"3"
"QTL:5224"	"ZNF263"	"3"
"QTL:6465"	"ZNF263"	"3"
"QTL:5224"	"PDIA2"	"3"
"QTL:6465"	"PDIA2"	"3"
"QTL:5224"	"PKD1"	"3"
"QTL:6465"	"PKD1"	"3"
"QTL:5224"	"FAM120A"	"3"
"QTL:6465"	"FAM120A"	"3"
"QTL:37438"	"TTL"	"3"
"QTL:5224"	"TTL"	"3"
"QTL:6465"	"TTL"	"3"
"QTL:5224"	"STARD7"	"3"
"QTL:6465"	"STARD7"	"3"
"QTL:5224"	"KDM3A"	"3"
"QTL:6465"	"KDM3A"	"3"
"QTL:5224"	"COMMD1"	"3"
"QTL:6465"	"COMMD1"	"3"
"QTL:5224"	"EFEMP1"	"3"
"QTL:5224"	"COX7A2L"	"3"
"QTL:5224"	"THUMPD2"	"3"
"QTL:37439"	"LTBP1"	"3"
"QTL:5224"	"LTBP1"	"3"
"QTL:5224"	"YPEL5"	"3"
"QTL:8797"	"YPEL5"	"3"
"QTL:8798"	"YPEL5"	"3"
"QTL:4253"	"NFXL1"	"8"
"QTL:1100"	"NFXL1"	"8"
"QTL:4253"	"GSX2"	"8"
"QTL:1100"	"GSX2"	"8"
"QTL:4253"	"EPHA5"	"8"
"QTL:1100"	"EPHA5"	"8"
"QTL:1100"	"IL15"	"8"
"QTL:1100"	"PGRMC2"	"8"
"QTL:1100"	"MAD2L1"	"8"
"QTL:8808"	"MAD2L1"	"8"
"QTL:8808"	"SMARCAD1"	"8"
"QTL:5260"	"PDX1"	"11"
"QTL:5260"	"GSX1"	"11"
"QTL:5259"	"LYPLAL1"	"10"
"QTL:5259"	"SYT2"	"10"
"QTL:1110"	"CACNB2"	"10"
"QTL:2928"	"CACNB2"	"10"
"QTL:594"	"CACNB2"	"10"
"QTL:2928"	"MPP7"	"10"
"QTL:37457"	"MPP7"	"10"
"QTL:5258"	"MPP7"	"10"
"QTL:594"	"MPP7"	"10"
"QTL:1214"	"ARHGAP6"	"X"
"QTL:593"	"TPCN2"	"2"
"QTL:593"	"TMEM151A"	"2"
"QTL:593"	"CCDC85B"	"2"
