"","accessionID","accessionName","accessionDescription","fromGenebank","fromGenebankID","fromGenebankID2","spp","speciesName","taxonomyID","subTaxaID","gpsLat","gpsLat_txt","gpsLong","gpsLong_txt","adm1","adm2","collectionSiteCountry","adm0","collectionSite","collectionSiteDetails","collectionSiteProvence","collectionDate","colNu_IPD","elevation","chromosomeNumber","germplasmStatus","MTA","ploidy","storageID","remarkID","dateCreated","lastUpdate"
"43","EA00043","Cour de Bue","INDET, red heart","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"44","EA00044","Croatia",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"45","EA00045","D' AUSTRALIE","indet, large red","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"46","EA00046","DACHILO","indet, beefsteaks","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"47","EA00047","DIENER","indet, large red beef","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"48","EA00048","Dinifario","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"49","EA00049","DIXIE GOLDEN GIANT","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"50","EA00050","Dourne D'Hivre","indet, firm, ripening mutant?","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"51","EA00051","DR. CAROLYN PINK","indet, pink cherries","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"52","EA00052","DWARF STONE","det","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"53","EA00053","EARLY RUBY","indet, small red","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"54","EA00054","ELFIE","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"55","EA00055","ENORMOUS","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"56","EA00056","ESSEX WONDER","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"57","EA00057","EXCELSIOR","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"58","EA00058","FANDANGO","indet, large pink","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"59","EA00059","FRANKENSTEIN","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"60","EA00060","Fritsch","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"61","EA00061","Fritz Ackerman",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"62","EA00062","GALLINARO","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"63","EA00063","Garvey Plum",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"64","EA00064","GEORGIA PEACH","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"65","EA00065","GERMAN MURPHY","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"66","EA00066","German queen","indet, large pink","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
